city_id,city_name,country,continent,population,regulatory_status,market_competition,number_of_drivers,number_of_rides,avg_fare,avg_wait_time_min,uber_services,major_competitors
9d978b1c-6617-4cf6-95c4-95dc9a248d70,Port Joseph,Senegal,South America,4981867.0,Restricted,Medium,15141,84106,27.507420405826522,3.7078498215477924,UberX,Grab
b7408700-0d17-4705-920d-26a080d0e4a5,Port Shannonside,France,Europe,4901993.0,Banned,Low,23664,209575,64.40836896865186,17.344457517919054,UberX,Local Taxis
3aecee16-ccd8-4805-881a-19e1095cccd7,Lake Donnaville,Marshall Islands,South America,2177603.0,Restricted,Low,9516,19003,195.3068642150067,6.577905225807464,UberPool,Lyft
0a07d46b-02fd-4a58-90b5-94b4ce68e2f9,North Phyllis,Burundi,North America,,Allowed,High,18143,228002,56.610777735564106,13.28088413152124,UberX,Local Taxis
c6c6994a-4bab-41fe-a2eb-66908cedb34e,Lake Patrick,Liechtenstein,South America,,Restricted,Medium,8401,26567,11.111731920644011,19.03867776357973,UberX,Local Taxis
ac3579e7-9413-4035-bc01-196de9265655,Port Teresaborough,Paraguay,Europe,7249966.0,Allowed,Medium,49540,437377,80.302122105521,10.775314764327806,UberPool,Local Taxis
1e597caa-9833-4731-87ba-630539630161,Glennfurt,New Caledonia,Europe,7497874.0,Allowed,High,16745,108717,70.67443783751837,5.158379319450745,UberX,Local Taxis
ebcb9f60-0c76-472e-8aa3-ff690d7bf71a,East Caitlinside,Belize,Africa,5076291.0,Restricted,Medium,18390,238741,78.99201394989541,13.117895414663133,UberEats,Lyft
2af55871-a9c6-4420-bca9-2508f3ca31f5,Flemingview,Panama,Africa,,Banned,Low,26094,8912,82.22270091406483,5.111143390929665,UberPool,Lyft
6a09ab34-f46d-4e1f-b95c-300a7c21d446,Lynchchester,Moldova,Europe,,Allowed,Low,7829,306152,38.65781087646513,6.143278181453038,UberEats,Grab
07062ab2-65f9-49da-a9dc-6ccf680c1a2c,Danielleland,El Salvador,North America,,Allowed,Low,15499,464452,53.62088951682876,13.890461751106837,UberEats,Ola
1d3cc53c-17ae-48e1-ba7f-0af7f327b503,East Wendyside,Vanuatu,Asia,8346997.0,Banned,High,26449,141610,52.46130865834541,18.02937460430794,UberEats,Ola
592ab64c-8dc3-4085-a3ea-4656097865cc,Teresaborough,Kazakhstan,Asia,,Banned,Low,19503,136986,91.15898707459004,16.56992595831607,UberX,Local Taxis
89b3c4f3-8c3f-41bc-a334-45e464e67673,Lake Lisa,South Africa,Asia,7208637.0,Allowed,High,48375,42437,16.959590223255496,16.942953797352583,UberPool,Ola
3a31ae35-8485-46bb-a30e-8c8e112ef9c2,Port Douglas,Antarctica (the territory South of 60 deg S),Australia,1132190.0,Restricted,Low,8349,315888,53.37327660441772,2.0144368409806286,UberPool,Local Taxis
00f30ae4-a8ce-4ed2-a23b-b14f12eb3dbf,West Heathermouth,British Indian Ocean Territory (Chagos Archipelago),Africa,5783333.0,Restricted,Medium,34932,414572,83.62104436459403,15.484342115202633,UberX,Grab
2744fe1f-3299-4dc4-b3f9-5d2be2f9f17f,Allisonview,Uganda,Australia,6012440.0,Banned,Medium,44586,377115,33.51336485891569,6.903543150659547,UberEats,Lyft
