ride_id,start_city,end_city,ride_date,start_time,end_time,distance_km,fare,dynamic_pricing,driver_id,passenger_id,rating,payment_method,ride_status
b26d2384-e990-4269-a1b7-6c6e433cfc1d,North Colleenville,Douglasmouth,2024-04-30,06:57:05,23:06:53,2.895033744342159,142.10011701314374,No,dfe2f726-7760-4fa1-8688-2120938d4c2e,922ec7c2-bcf2-4756-ba85-0fd55739dc2a,2,Cash,Completed
3ef0d969-d19c-4ec1-abed-4fa986168c90,Cindyton,West Melanieland,2022-11-10,14:22:49,02:08:02,28.86436492667128,175.9607613382517,No,72c4a06e-24d1-4221-8352-3842577f5ad9,7d65fef1-8ac1-458b-be1b-5fbe2b5c4f9a,1,Cash,Canceled
e975dbb0-b118-4431-8228-769b554513d0,Maryberg,New Rachelville,2021-06-11,12:17:53,01:24:20,21.80732721409534,119.5098202681073,Yes,23c554c6-a183-4b59-8e0b-9c5ba699e98c,a4e4cfcd-14b6-444c-9a38-0bc3d65d74ce,1,PayPal,Completed
c709e75a-9974-4857-8445-d5f9a878f26b,South Cameronmouth,South Shawn,2022-09-05,08:48:50,12:29:13,17.868135058477453,120.17351773048145,Yes,dcb0d8bf-a327-4f54-8678-8f0d48335812,a902951a-9950-48f5-8f4b-c3e8df004850,4,PayPal,Canceled
c811ae95-ea1f-4859-9df4-0307f484d988,Howardside,New Ricky,2024-06-21,17:59:12,16:05:55,7.483889060464731,175.5661556579939,No,3faf2901-ab93-471b-883b-17520d3bcc06,d8a535e3-b7e7-4005-9d81-353f57c24cfb,2,Credit Card,Canceled
97073fd9-d93f-42ca-b641-d0653e041306,New Christopher,Meaganside,2024-03-06,02:00:23,16:15:50,27.07640331895512,145.74787226892585,No,f3ab7fb8-79de-49c8-891f-f8e6b27205f7,ffd59bc9-0b96-46ab-af20-1e94b13f6c60,3,PayPal,Canceled
3c0aa8b2-2bfc-4765-87fd-1629bb74cd2c,South Sonyaport,East William,2024-04-16,16:51:40,20:29:30,2.4487927043346627,52.84799642060283,Yes,27871a81-65c4-4579-916f-c2c7a4866340,8a9aac39-dd7a-4870-a51e-d9ef5a6edc7c,4,Cash,Canceled
58dafd35-9e77-4fd9-acc3-bff2f46e33f1,Hopkinsborough,Feliciaview,2023-12-04,19:04:19,06:58:59,12.524428382786988,92.26473432828314,No,fdb2e809-df00-492d-ab5a-09892a10f82b,6eff16c2-b2e5-4c2c-a337-f70545525a12,5,Cash,Canceled
7417ec53-28b1-408f-be05-4ff5a46009e7,New Connor,Markland,2023-02-17,23:11:27,21:14:57,49.035587358855416,9.283641652296694,No,93671f9a-b02b-4765-aa17-e01aab7edb20,d6555b80-18fd-4c16-bba1-4bd278a6ef22,4,Credit Card,Canceled
9f100463-eff6-4600-a6c1-20facc1d02e5,Raymondfurt,West Samanthafort,2022-09-23,08:11:34,17:05:42,10.88890567899483,125.86369474406163,No,6dd5e94f-f072-4530-ae8a-589a3d5a32f1,9c12111f-fa5e-4109-acd7-05e31064f770,5,Credit Card,Completed
15f955bb-e46a-4e3a-93a8-bcbb624aba81,West Diana,Port Dorothytown,2024-06-26,08:57:02,14:55:16,40.204515456906556,41.62243592730215,No,c2281926-57d7-42bf-b142-f5897fce039e,0d8639f4-a05e-4496-ab93-0280b3966734,1,Cash,Completed
203867b8-d3df-43be-8d24-8da9dee1719d,Adamsbury,New Nicholasmouth,2022-03-22,23:15:33,10:51:54,41.29408139702045,54.990930275610516,No,f9ad1c9b-ea0f-455b-b9dc-0953e0301f10,13819ea4-2419-486c-a16f-5db6ea5a9e46,1,Cash,Completed
69b117b1-7888-4cd1-97dd-d058059059d9,North Rachelshire,New Lisachester,2021-03-05,15:22:13,02:11:24,38.66242259390446,52.25447778911276,Yes,3a48ae91-6d83-4cd2-947d-a025933e6c8f,bc9716e0-30fa-4f8f-8e03-5fa6e822481e,3,Credit Card,Canceled
61cf85f8-9697-483f-98d2-20f45d21906a,Lake Ricky,West Pamelatown,2023-02-02,14:39:09,05:43:17,25.73150197757801,47.082094862316204,No,00a9aa8b-6db1-4464-b8ba-a86b0fccc2cb,e7e1e6cb-5414-444c-8ec8-f84956921db4,4,Cash,Canceled
1da13f87-7424-4e2d-8cd8-526b19f2d052,East Devin,Robinsonfort,2024-05-26,08:48:37,08:07:27,4.72202821059766,82.44486881573344,Yes,f9b1ae7e-aebf-4acb-8f5b-ca109800bc0c,3885f4d8-8cfb-4773-bb38-4d23c9bc063c,3,PayPal,Canceled
bf617d2d-0a33-4ac7-9d0d-aacde1ad4865,North Cynthiahaven,Atkinston,2023-05-13,04:57:46,04:12:08,48.16909599281823,33.06366082032932,Yes,b5933f79-1c35-43ef-93cf-67d41e8e900b,1c35974f-d4be-4b1c-b0de-4667d9a6f39c,5,PayPal,Completed
